unidade;ano;mes;partos;cesareas
HJK;2019;1;225;68
HJK;2019;2;223;72
HJK;2019;3;210;76
HJK;2019;4;222;64
HJK;2019;5;214;70
HJK;2019;6;196;66
HJK;2019;7;202;70
HJK;2019;8;207;75
HJK;2019;9;195;70
HJK;2019;10;180;58
HJK;2019;11;217;69
HJK;2019;12;189;66
HJK;2020;1;204;70
HJK;2020;2;191;59
HJK;2020;3;216;73
HJK;2020;4;167;59
HJK;2020;5;196;63
HJK;2020;6;162;59
HJK;2020;7;174;58
HJK;2020;8;166;66
HJK;2020;9;168;63
HJK;2020;10;189;63
HJK;2020;11;173;46
HJK;2020;12;188;61
HJK;2021;1;168;70
HJK;2021;2;170;64
HJK;2021;3;185;58
HJK;2021;4;134;33
HJK;2021;5;154;54
HJK;2021;6;134;50
HJK;2021;7;174;58
HJK;2021;8;182;57
HJK;2021;9;151;51
HJK;2021;10;174;60
HJK;2021;11;171;51
HJK;2021;12;165;57
HJK;2022;1;173;73
HJK;2022;2;142;55
HJK;2022;3;174;51
HJK;2022;4;186;65
HJK;2022;5;159;49
HJK;2022;6;160;57
HJK;2022;7;148;54
HJK;2022;8;158;43
HJK;2022;9;172;62
HJK;2022;10;137;47
HJK;2022;11;130;49
HJK;2022;12;164;69
HJK;2023;1;126;49
HJK;2023;2;142;57
HJK;2023;3;159;66
HJK;2023;4;148;45
HJK;2023;5;166;59
HJK;2023;6;159;57
HJK;2023;7;162;61
HJK;2023;8;174;72
HJK;2023;9;168;74
HJK;2023;10;125;39
HJK;2023;11;161;55
HJK;2023;12;137;44
HJK;2024;1;179;66
HJK;2024;2;173;66
HJK;2024;3;175;57
HJK;2024;4;158;65
HJK;2024;5;168;75
HJK;2024;6;143;45
HJK;2024;7;173;68
HJK;2024;8;169;69
HJK;2024;9;150;60
HJK;2024;10;155;56
HJK;2024;11;147;50
HJK;2024;12;175;76
HJK;2025;1;199;69
HJK;2025;2;161;48
HJK;2025;3;124;37
HJK;2025;4;127;49
HJK;2025;5;204;77
HJK;2025;6;195;65
HJK;2025;7;211;84
HJK;2025;8;170;78
HJK;2025;9;176;58
HJK;2025;10;176;71
HJK;2025;11;137;45
HJK;2025;12;162;65
HJK;2026;1;154;55
HJK;2026;2;79;20
HJK;2026;3;159;58
HRAD;2019;1;134;72
HRAD;2019;2;122;63
HRAD;2019;3;126;72
HRAD;2019;4;97;54
HRAD;2019;5;105;49
HRAD;2019;6;117;69
HRAD;2019;7;133;74
HRAD;2019;8;93;51
HRAD;2019;9;85;48
HRAD;2019;10;93;57
HRAD;2019;11;87;45
HRAD;2019;12;100;40
HRAD;2020;1;98;42
HRAD;2020;2;96;48
HRAD;2020;3;120;70
HRAD;2020;4;124;59
HRAD;2020;5;127;72
HRAD;2020;6;112;58
HRAD;2020;7;153;66
HRAD;2020;8;94;47
HRAD;2020;9;104;50
HRAD;2020;10;110;62
HRAD;2020;11;92;45
HRAD;2020;12;102;46
HRAD;2021;1;111;50
HRAD;2021;2;139;70
HRAD;2021;3;123;55
HRAD;2021;4;123;60
HRAD;2021;5;115;63
HRAD;2021;6;132;66
HRAD;2021;7;135;69
HRAD;2021;8;134;63
HRAD;2021;9;115;63
HRAD;2021;10;113;45
HRAD;2021;11;106;46
HRAD;2021;12;124;62
HRAD;2022;1;115;67
HRAD;2022;2;120;66
HRAD;2022;3;126;69
HRAD;2022;4;109;52
HRAD;2022;5;107;52
HRAD;2022;6;99;54
HRAD;2022;7;84;39
HRAD;2022;8;119;69
HRAD;2022;9;82;54
HRAD;2022;10;96;52
HRAD;2022;11;118;72
HRAD;2022;12;104;58
HRAD;2023;1;129;63
HRAD;2023;2;101;59
HRAD;2023;3;115;72
HRAD;2023;4;119;64
HRAD;2023;5;103;59
HRAD;2023;6;121;73
HRAD;2023;7;99;64
HRAD;2023;8;110;57
HRAD;2023;9;126;69
HRAD;2023;10;98;59
HRAD;2023;11;137;58
HRAD;2023;12;96;53
HRAD;2024;1;112;59
HRAD;2024;2;97;60
HRAD;2024;3;113;65
HRAD;2024;4;98;59
HRAD;2024;5;116;72
HRAD;2024;6;107;64
HRAD;2024;7;80;42
HRAD;2024;8;92;56
HRAD;2024;9;113;55
HRAD;2024;10;100;60
HRAD;2024;11;90;47
HRAD;2024;12;126;62
HRAD;2025;1;103;60
HRAD;2025;2;115;63
HRAD;2025;3;113;65
HRAD;2025;4;118;70
HRAD;2025;5;106;65
HRAD;2025;6;106;62
HRAD;2025;7;109;64
HRAD;2025;8;124;62
HRAD;2025;9;126;60
HRAD;2025;10;106;59
HRAD;2025;11;115;54
HRAD;2025;12;95;58
HRAD;2026;1;119;63
HRAD;2026;2;116;62
HRAD;2026;3;111;52
HRJP;2019;1;115;43
HRJP;2019;2;116;52
HRJP;2019;3;118;50
HRJP;2019;4;131;64
HRJP;2019;5;124;48
HRJP;2019;6;114;47
HRJP;2019;7;116;50
HRJP;2019;8;98;46
HRJP;2019;9;119;50
HRJP;2019;10;108;50
HRJP;2019;11;95;44
HRJP;2019;12;111;45
HRJP;2020;1;108;37
HRJP;2020;2;105;46
HRJP;2020;3;121;61
HRJP;2020;4;90;51
HRJP;2020;5;118;52
HRJP;2020;6;109;51
HRJP;2020;7;106;56
HRJP;2020;8;103;54
HRJP;2020;9;107;41
HRJP;2020;10;89;42
HRJP;2020;11;114;54
HRJP;2020;12;100;44
HRJP;2021;1;113;44
HRJP;2021;2;95;44
HRJP;2021;3;119;62
HRJP;2021;4;115;62
HRJP;2021;5;125;46
HRJP;2021;6;96;49
HRJP;2021;7;107;53
HRJP;2021;8;120;54
HRJP;2021;9;121;46
HRJP;2021;10;106;52
HRJP;2021;11;105;48
HRJP;2021;12;102;49
HRJP;2022;1;124;55
HRJP;2022;2;110;51
HRJP;2022;3;116;53
HRJP;2022;4;128;59
HRJP;2022;5;119;56
HRJP;2022;6;108;50
HRJP;2022;7;118;62
HRJP;2022;8;99;44
HRJP;2022;9;104;43
HRJP;2022;10;83;33
HRJP;2022;11;96;38
HRJP;2022;12;110;61
HRJP;2023;1;109;54
HRJP;2023;2;97;44
HRJP;2023;3;125;50
HRJP;2023;4;118;52
HRJP;2023;5;114;58
HRJP;2023;6;109;65
HRJP;2023;7;110;56
HRJP;2023;8;94;48
HRJP;2023;9;98;54
HRJP;2023;10;109;60
HRJP;2023;11;120;54
HRJP;2023;12;105;67
HRJP;2024;1;115;55
HRJP;2024;2;99;54
HRJP;2024;3;99;45
HRJP;2024;4;113;58
HRJP;2024;5;117;53
HRJP;2024;6;124;75
HRJP;2024;7;102;49
HRJP;2024;8;101;52
HRJP;2024;9;120;59
HRJP;2024;10;118;62
HRJP;2024;11;89;25
HRJP;2024;12;99;45
HRJP;2025;1;113;54
HRJP;2025;2;110;53
HRJP;2025;3;160;79
HRJP;2025;4;135;56
HRJP;2025;5;139;71
HRJP;2025;6;127;62
HRJP;2025;7;131;69
HRJP;2025;8;139;67
HRJP;2025;9;108;54
HRJP;2025;10;123;59
HRJP;2025;11;122;65
HRJP;2025;12;114;56
HRJP;2026;1;131;67
HRJP;2026;2;128;59
HRJP;2026;3;122;67
MOV;2019;1;309;101
MOV;2019;2;249;72
MOV;2019;3;298;93
MOV;2019;4;281;86
MOV;2019;5;296;80
MOV;2019;6;253;87
MOV;2019;7;270;72
